CUSTOMERNAME,RECENCY_days,FREQUENCY_last_year,MONETARY_last_year,QUANTITYORDERED_last_year,COUNTRY,CITY,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME,Customer_ID,Motorcycles,Classic Cars,Trucks and Buses,Vintage Cars,Planes,Ships,Trains,KMeansLabel,CustomerType
Marseille Mini Autos,131,2.0,22454.3,259.0,France,Marseille,91.24.4555,Lebihan,Laurence,48,114,534,0,156,0,0,0,2,AverageCustomer
Marta's Replicas Co.,216,2.0,103080.38000000002,976.0,USA,Cambridge,6175558555,Hernandez,Marta,49,429,231,271,0,45,0,0,0,GoodCustomer
"Men 'R' US Retailers, Ltd.",494,0.0,0.0,0.0,USA,Los Angeles,2155554369,Chandler,Michael,50,0,270,0,78,91,61,0,4,LostCustomer
Microscale Inc.,195,1.0,31446.149999999998,335.0,USA,NYC,2125551957,Kuo,Kee,51,201,134,0,46,0,0,0,2,AverageCustomer
Mini Auto Werke,68,1.0,8775.16,102.0,Austria,Graz,7675-3555,Mendel,Roland,52,0,142,0,102,0,0,0,2,AverageCustomer
Mini Caravy,33,2.0,41097.25,397.0,France,Strasbourg,88.60.1555,Citeaux,Frederique,53,0,602,0,177,0,0,0,0,GoodCustomer
Mini Classics,214,1.0,46873.04,544.0,USA,White Plains,9145554562,Frick,Steve,54,159,187,165,93,292,0,33,2,AverageCustomer
Mini Creations Ltd.,130,1.0,11021.3,96.0,USA,New Bedford,5085559555,Tam,Wing C,55,66,215,0,232,248,310,69,2,AverageCustomer
Mini Gifts Distributors Ltd.,55,11.0,413545.42,3917.0,USA,San Rafael,4155551450,Nelson,Valarie,56,360,2381,1232,1678,0,371,269,1,StarCustomer
Mini Wheels Co.,180,1.0,30348.72,261.0,USA,San Francisco,6505555787,Murphy,Julie,57,214,26,95,357,0,0,0,2,AverageCustomer
Motor Mint Distributors Inc.,181,1.0,48996.1,437.0,USA,Philadelphia,2155559857,Hernandez,Rosa,58,161,525,0,44,0,0,0,2,AverageCustomer
Muscle Machine Inc,167,2.0,64958.700000000004,616.0,USA,NYC,2125557413,Young,Jeff,59,0,1271,279,150,0,0,75,0,GoodCustomer
"Norway Gifts By Mail, Co.",269,1.0,34145.47,418.0,Norway,Oslo,+47 2212 1555,Klaeboe,Jan,60,0,369,0,122,296,0,0,2,AverageCustomer
Online Diecast Creations Co.,194,1.0,55570.6,512.0,USA,Nashua,6035558647,Young,Valarie,61,0,671,84,493,0,0,0,2,AverageCustomer
Online Mini Collectables,249,2.0,57197.95999999999,572.0,USA,Brickhaven,6175557555,Barajas,Miguel,62,208,319,0,0,0,45,0,2,AverageCustomer
Osaka Souveniers Co.,399,0.0,0.0,0.0,Japan,Osaka,+81 06 6342 5555,Kentary,Mory,63,173,115,0,82,322,0,0,4,LostCustomer
"Oulu Toy Supplies, Inc.",106,1.0,49055.4,605.0,Finland,Oulu,981-443655,Koskitalo,Pirkko,64,0,296,248,152,175,239,0,2,AverageCustomer
Petit Auto,300,1.0,47760.479999999996,518.0,Belgium,Bruxelles,(02) 5554 67,Dewey,Catherine,65,0,30,0,270,0,315,70,2,AverageCustomer
Quebec Home Shopping Network,16,2.0,58257.50000000001,572.0,Canada,Montreal,(514) 555-8054,Fresnisre,Jean,66,0,256,166,77,0,218,0,0,GoodCustomer
Reims Collectables,48,3.0,100924.66,1110.0,France,Reims,26.47.1555,Henriot,Paul,67,214,461,82,150,415,64,47,0,GoodCustomer
Rovelli Gifts,186,1.0,41696.689999999995,495.0,Italy,Bergamo,035-640555,Rovelli,Giovanni,68,0,62,0,674,802,112,0,2,AverageCustomer
"Royal Canadian Collectables, Ltd.",270,1.0,43332.350000000006,483.0,Canada,Tsawassen,(604) 555-4555,Lincoln,Elizabeth,69,41,25,0,222,317,268,0,2,AverageCustomer
Royale Belge,127,2.0,30091.640000000003,231.0,Belgium,Charleroi,(071) 23 67 2555,Cartrain,Pascale,70,0,117,0,65,41,28,27,2,AverageCustomer
Salzburg Collectables,0,3.0,111169.48999999999,1000.0,Austria,Salzburg,6562-9555,Pipps,Georg,71,197,735,0,197,200,113,0,0,GoodCustomer
"Saveley & Henriot, Co.",441,0.0,0.0,0.0,France,Lyon,78.32.5555,Saveley,Mary,72,0,343,261,475,0,271,78,4,LostCustomer
Scandinavian Gift Ideas,75,2.0,85548.41,809.0,Sweden,Boras,0695-34 6555,Larsson,Maria,73,133,278,262,136,0,0,0,0,GoodCustomer
Signal Collectibles Ltd.,462,0.0,0.0,0.0,USA,Brisbane,4155554312,Taylor,Sue,74,0,64,83,367,0,0,0,4,LostCustomer
Signal Gift Stores,169,2.0,48903.46000000001,481.0,USA,Las Vegas,7025551838,King,Sue,75,0,611,0,318,0,0,0,2,AverageCustomer
Souveniers And Things Co.,151,2.0,79202.29000000001,803.0,Australia,Chatswood,+61 2 9495 8555,Huxley,Adrian,76,46,99,162,495,243,24,0,0,GoodCustomer
"Stylish Desk Decors, Co.",165,1.0,13739.900000000001,156.0,UK,London,(171) 555-0297,Brown,Ann,77,0,174,291,149,98,225,0,2,AverageCustomer
Suominen Souveniers,131,1.0,51373.490000000005,508.0,Finland,Espoo,+358 9 8045 555,Suominen,Kalle,78,146,660,136,0,0,0,89,2,AverageCustomer
Super Scale Inc.,378,0.0,0.0,0.0,USA,New Haven,2035559545,Murphy,Leslie,79,0,242,169,94,0,50,81,4,LostCustomer
Technics Stores Inc.,132,2.0,16445.77,152.0,USA,Burlingame,6505556809,Hirano,Juri,80,353,99,257,108,362,0,0,2,AverageCustomer
Tekni Collectables Inc.,364,1.0,27987.07,216.0,USA,Newark,2015559350,Brown,William,81,216,0,0,40,0,65,0,3,RiskLosingCustmer
The Sharp Gifts Warehouse,46,2.0,53654.94,564.0,USA,San Jose,4085553659,Frick,Sue,82,63,64,0,432,450,76,0,0,GoodCustomer
"Tokyo Collectables, Ltd",25,4.0,120562.74,1150.0,Japan,Minato-ku,+81 3 3584 0555,Shimamura,Akiko,83,136,199,102,231,225,208,49,0,GoodCustomer
"Toms Spezialitten, Ltd",213,1.0,68943.40000000001,619.0,Germany,Koln,0221-5554327,Pfalzheim,Henriette,84,121,815,0,0,0,0,0,2,AverageCustomer
"Toys of Finland, Co.",97,2.0,69166.87999999999,597.0,Finland,Helsinki,90-224 8555,Karttunen,Matti,85,301,328,0,100,246,76,0,0,GoodCustomer
Toys4GrownUps.com,546,0.0,0.0,0.0,USA,Pasadena,6265557265,Young,Julie,86,468,0,0,0,123,0,0,4,LostCustomer
"UK Collectables, Ltd.",39,1.0,40802.810000000005,371.0,UK,Liverpool,(171) 555-2282,Devon,Elizabeth,87,371,165,0,81,0,0,0,2,AverageCustomer
"Vida Sport, Ltd",260,1.0,67281.01000000001,595.0,Switzerland,Gensve,0897-034555,Holz,Michael,88,0,1078,0,0,0,0,0,2,AverageCustomer
Vitachrome Inc.,193,1.0,56372.87,468.0,USA,NYC,2125551500,Frick,Michael,89,239,239,158,151,0,0,0,2,AverageCustomer
"Volvo Model Replicas, Co",189,2.0,39745.670000000006,378.0,Sweden,Lule,0921-12 3555,Berglund,Christina,90,0,184,0,134,0,80,32,2,AverageCustomer
West Coast Collectables Co.,474,0.0,0.0,0.0,USA,Burbank,3105553722,Thompson,Steve,91,0,35,46,344,86,0,0,4,LostCustomer
giftsbymail.co.uk,197,1.0,51334.16,623.0,UK,Cowes,(198) 555-8888,Bennett,Helen,92,0,33,0,222,299,293,48,2,AverageCustomer
